,hectares,ons_label,oa_2001,ward_2001,local_authority_2001,is_inner_london,walkability_score_m1,walkability_score_m2,walkability_score_m3,oa_occupied_household_space_count,residential_density,residential_density_decile,partial_walkability_score_m1,partial_walkability_score_m2,partial_walkability_score_m3,pop_weighted_centroid_lon,pop_weighted_centroid_lat,tree_count,trees_per_hectare,trees_per_hectare_decile,cluster
0,1225.9261,00AKGN0039,00AKGN0039,Chase,Enfield,False,12,12,11,130,0.106042281,1,11,11,10,-0.10512588158154884,51.67819257763617,10151.0,8.280270727574852,6,2
1,380.502775,00AFGQ0012,00AFGQ0012,Darwin,Bromley,False,7,10,8,137,0.36004993700000004,1,6,9,7,0.06008520466136412,51.29794940303505,,0.0,1,0
2,348.650575,00AFGQ0008,00AFGQ0008,Darwin,Bromley,False,8,11,9,139,0.398679968,1,7,10,8,0.07823947898786435,51.30994093326555,64.0,0.18356487724134687,1,2
3,943.8392,00ASGP0006,00ASGP0006,Heathrow Villages,Hillingdon,False,18,18,18,138,0.146211346,1,17,17,17,-0.48576780792379004,51.48164258778048,180.0,0.19071045152606503,1,1
4,422.121,00ASGP0015,00ASGP0015,Heathrow Villages,Hillingdon,False,15,15,13,144,0.341134414,1,14,14,12,-0.4746018148991324,51.48282333449905,99.0,0.23452990967044995,1,2
5,576.68065,00ASGN0007,00ASGN0007,Harefield,Hillingdon,False,7,9,7,49,0.08496903800000001,1,6,8,6,-0.4565577583766437,51.5809163980727,2.0,0.0034681239954903985,1,0
7,252.0679,00BDFZ0025,00BDFZ0025,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,False,13,13,9,126,0.499865314,1,12,12,8,-0.30167885580018633,51.44472603563082,32.0,0.12694992103318192,1,2
8,317.014225,00AFGQ0007,00AFGQ0007,Darwin,Bromley,False,7,9,11,134,0.42269396600000003,1,6,8,10,0.05351491603447288,51.331426193349046,9.0,0.028389893229554604,1,0
9,716.1815,00AFGM0028,00AFGM0028,Cray Valley East,Bromley,False,12,12,10,140,0.195481173,1,11,11,9,0.140188607826701,51.39592098144972,9.0,0.012566646862562073,1,2
10,217.7313,00ABGL0023,00ABGL0023,Thames,Barking and Dagenham,False,12,12,11,130,0.5970661999999999,1,11,11,10,0.0978866990736738,51.52656104021706,62.0,0.2847546494233948,1,2
11,595.27035,00BCFY0017,00BCFY0017,Aldborough,Redbridge,False,12,9,10,109,0.183110078,1,11,8,9,0.1145910211705878,51.58505394703286,207.0,0.34774115660220606,1,2
18,271.69865,00AFGE0027,00AFGE0027,Biggin Hill,Bromley,False,3,3,7,132,0.485832373,1,2,2,6,0.02365913535937861,51.3213576144881,17.0,0.0625693208265849,1,0
19,138.6358125,00AFGE0029,00AFGE0029,Biggin Hill,Bromley,False,7,8,7,133,0.9593480759999999,1,6,7,6,0.03449893275022756,51.317133732743166,19.0,0.13704972515669428,1,0
20,223.21475,00AFGQ0011,00AFGQ0011,Darwin,Bromley,False,11,12,12,121,0.542078872,1,10,11,11,0.05182575967307291,51.31403906785147,149.0,0.6675186115612879,1,2
21,170.6251,00ASGP0029,00ASGP0029,Heathrow Villages,Hillingdon,False,10,11,10,132,0.77362592,1,9,10,9,-0.49014184639567676,51.47980163022149,7.0,0.04102561698132338,1,2
22,102.32255625,00ATFY0008,00ATFY0008,Bedfont,Hounslow,False,18,19,19,131,1.280265122,1,17,18,18,-0.44278066792244264,51.44899259287148,444.0,4.339219193421978,4,1
23,197.9599625,00ASGP0020,00ASGP0020,Heathrow Villages,Hillingdon,False,15,15,15,127,0.641543868,1,14,14,14,-0.42597474832691545,51.481915488366795,154.0,0.777935083716739,1,2
24,144.4444625,00ASGR0017,00ASGR0017,Ickenham,Hillingdon,False,9,11,12,140,0.9692306479999999,1,8,10,11,-0.46644832297355987,51.564372927654766,50.0,0.34615380288462083,1,2
25,122.811525,00ASGQ0029,00ASGQ0029,Hillingdon East,Hillingdon,False,12,12,8,142,1.1562432759999999,1,11,11,7,-0.4364707674662189,51.545138834350595,1.0,0.008142558281887632,1,2
26,200.7574375,00ASGX0001,00ASGX0001,South Ruislip,Hillingdon,False,12,11,8,112,0.557887177,1,11,10,7,-0.42037486661885837,51.55933676988983,37.0,0.18430201371742452,1,2
27,73.44159375,00AJGT0005,00AJGT0005,Northolt West End,Ealing,False,13,11,13,126,1.7156490430000002,1,12,10,12,-0.4090194750123284,51.53595028795952,22.0,0.2995577693328585,1,2
28,186.702875,00ASGX0021,00ASGX0021,South Ruislip,Hillingdon,False,7,11,11,135,0.7230740290000001,1,6,10,10,-0.3987815821773615,51.5473066265458,191.0,1.0230158480419758,2,0
29,52.115865625,00ASGX0030,00ASGX0030,South Ruislip,Hillingdon,False,13,13,13,127,2.4368778769999997,1,12,12,12,-0.41797306530815176,51.56178534723583,23.0,0.441324339990755,1,2
30,221.05005,00ASGT0022,00ASGT0022,Northwood,Hillingdon,False,3,10,10,140,0.63334073,1,2,9,9,-0.43840038769852924,51.603377624886136,57.0,0.2578601542953734,1,0
31,298.949475,00ASGN0004,00ASGN0004,Harefield,Hillingdon,False,11,12,8,135,0.451581325,1,10,11,7,-0.4845388241716742,51.61375392847152,252.0,0.8429518064883706,1,2
34,333.9205,00BDGA0031,00BDGA0031,Hampton,Richmond upon Thames,False,16,11,14,143,0.428245645,1,15,10,13,-0.3382872140709853,51.405827903431764,44.0,0.13176789086024968,1,2
35,294.2865,00BDFZ0007,00BDFZ0007,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,False,11,10,7,140,0.475726885,1,10,9,6,-0.30253766395720494,51.43134334264259,26.0,0.08834927867911033,1,2
36,377.1292,00BFGG0004,00BFGG0004,Carshalton South and Clockhouse,Sutton,False,10,9,11,134,0.35531589700000005,1,9,8,10,-0.15825851526321386,51.33640217449264,9.0,0.023864500547822867,1,2
37,205.919775,00BFGC0006,00BFGC0006,Beddington North,Sutton,False,15,15,15,116,0.563326179,1,14,14,14,-0.1335048877623231,51.37467725792926,6.0,0.029137560974899085,1,2
38,123.7300875,00BAGA0008,00BAGA0008,Cricket Green,Merton,False,16,12,15,111,0.897114051,1,15,11,14,-0.16026393046439588,51.392004923444716,52.0,0.4202696454085996,1,2
39,158.6132625,00ATGM0016,00ATGM0016,Hounslow Heath,Hounslow,False,13,10,10,147,0.926782526,1,12,9,9,-0.3824963533501869,51.45992036870118,1015.0,6.399212676178324,5,2
40,85.7290875,00BDFZ0026,00BDFZ0026,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,False,7,11,12,127,1.481410846,1,6,10,11,-0.3179265138601685,51.44089481730908,118.0,1.3764289745881173,2,0
41,397.771625,00BDFX0003,00BDFX0003,East Sheen,Richmond upon Thames,False,7,8,9,138,0.346932741,1,6,7,8,-0.26300797730936215,51.4570537166567,144.0,0.3620167728153058,1,0
42,261.053475,00ATGR0026,00ATGR0026,Osterley and Spring Grove,Hounslow,False,11,11,10,126,0.48265973100000004,1,10,10,9,-0.3423422648211415,51.48644808804264,116.0,0.4443534030719185,1,2
43,83.62129375,00AJGE0009,00AJGE0009,Dormers Wells,Ealing,False,17,13,13,129,1.542669268,1,16,12,12,-0.35581039199292286,51.51520259999937,90.0,1.0762808844965999,2,1
44,127.87214104,00BDGE0015,00BDGE0015,Kew,Richmond upon Thames,False,15,11,12,119,0.930617092,1,14,10,11,-0.2916074270131787,51.47829765236544,45.0,0.3519140262609933,1,2
45,180.4675,00BKGH0011,00BKGH0011,Knightsbridge and Belgravia,Westminster,True,26,26,20,133,0.736974802,1,20,20,18,-0.1637741893831247,51.50249056202922,257.0,1.4240791278207987,2,1
46,35.74316875,00BKGQ0020,00BKGQ0020,St James's,Westminster,True,15,14,16,126,3.525149124,1,14,13,15,-0.12742723750970206,51.49731705965631,195.0,5.455587929651593,5,1
50,444.06015,00AFGQ0003,00AFGQ0003,Darwin,Bromley,False,10,12,8,122,0.274737555,1,9,11,7,0.028712908160283438,51.3438056097819,102.0,0.22969861177590467,1,2
52,417.79245,00AFGS0019,00AFGS0019,Hayes and Coney Hall,Bromley,False,9,11,7,57,0.136431379,1,8,10,6,0.01962782170203951,51.36356088454367,514.0,1.2302759420377272,2,2
53,58.02255,00AFGF0002,00AFGF0002,Bromley Common and Keston,Bromley,False,8,8,9,101,1.7407025369999998,1,7,7,8,0.03834317427610153,51.363534373016236,33.0,0.5687443933436224,1,2
54,99.94530625,00AFGZ0023,00AFGZ0023,Plaistow and Sundridge,Bromley,False,10,8,8,114,1.14062385,1,9,7,7,0.028330585612232825,51.423428931970655,138.0,1.380755186789975,2,2
55,491.08045,00AFGQ0002,00AFGQ0002,Darwin,Bromley,False,8,10,11,129,0.262686083,1,7,9,10,0.06407782484639776,51.33891151347613,442.0,0.9000561924222396,2,2
56,326.4742,00AFGQ0005,00AFGQ0005,Darwin,Bromley,False,7,11,10,121,0.37062653,1,6,10,9,0.07729403392245895,51.334592310411686,3.0,0.009189087529734356,1,0
57,282.059075,00AFGH0024,00AFGH0024,Chelsfield and Pratts Bottom,Bromley,False,7,7,7,141,0.49989527899999997,1,6,6,6,0.11207475265765524,51.338393868082804,38.0,0.1347235503768138,1,0
58,77.86866875,00AFGQ0015,00AFGQ0015,Darwin,Bromley,False,9,9,11,140,1.797898978,1,8,8,10,0.08538195748150704,51.349671033475595,42.0,0.5393696935392902,1,2
59,109.297975,00AFGH0026,00AFGH0026,Chelsfield and Pratts Bottom,Bromley,False,9,11,12,131,1.198558345,1,8,10,11,0.11196310016129957,51.34464784653187,101.0,0.9240793344981918,2,2
60,392.671775,00AFGH0007,00AFGH0007,Chelsfield and Pratts Bottom,Bromley,False,12,12,12,118,0.300505428,1,11,11,11,0.134299465405882,51.356145233350205,632.0,1.6094867017116266,2,2
61,106.845812061,00AFGJ0025,00AFGJ0025,Chislehurst,Bromley,False,12,12,12,148,1.385173617,1,11,11,11,0.08974141084914668,51.41609718010513,546.0,5.110167534580389,5,2
62,247.97465,00AFGM0050,00AFGM0050,Cray Valley East,Bromley,False,11,10,12,136,0.548443157,1,10,9,11,0.12476531827517848,51.40191494560608,13.0,0.05242471357455288,1,2
63,124.4022625,00ADGJ0026,00ADGJ0026,Cray Meadows,Bexley,False,8,8,7,142,1.14145834,1,7,7,6,0.13253730658115373,51.419734524792055,59.0,0.474267901679039,1,2
64,128.9510125,00ALHB0031,00ALHB0031,Peninsula,Greenwich,True,18,18,18,124,0.961605478,1,17,17,17,0.010814527240100994,51.48947687652127,291.0,2.25667091989681,3,1
65,41.60685,00BBGT0012,00BBGT0012,Royal Docks,Newham,False,18,18,18,125,3.004312992,1,17,17,17,0.04616493752704327,51.502878736438184,192.0,4.614624755298706,4,1
